Désignation;Type de médicament;Laboratoire
TAZOCILLINE 2 g/0 25 g  poudre pour solution pour perfusion;poudre pour solution pour perfusion;PFIZER HOLDING FRANCE
TAZOCILLINE 4 g/0 5 g  poudre pour solution pour perfusion;poudre pour solution pour perfusion;PFIZER HOLDING FRANCE
TCAPS 100 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 112 microgrammes capsule molle;capsule molle;GENEVRIER
TCAPS 125 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 13 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 137 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 150 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 175 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 200 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 25 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 50 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 75 microgrammes  capsule molle;capsule molle;GENEVRIER
TCAPS 88 microgrammes  capsule molle;capsule molle;GENEVRIER
TEATROIS 0 35 mg  comprimé;comprimé;RARE THYROID THERAPEUTICS INTERNATIONAL AB (SUEDE)
TECENTRIQ 1200 mg  solution à diluer pour perfusion;solution à diluer pour perfusion;ROCHE REGISTRATION (ALLEMAGNE)
TECEOS 13 mg  trousse pour préparation radiopharmaceutique;poudre pour injection;CIS BIO INTERNATIONAL
TECFIDERA 120 mg  gélule gastro-résistante;gélule gastro-résistant(e);BIOGEN NETHERLANDS (PAYS-BAS)
TECFIDERA 240 mg  gélule gastro-résistante;gélule gastro-résistant(e);BIOGEN NETHERLANDS (PAYS-BAS)
TECHNESCAN DMSA  poudre pour solution injectable. Trousse pour la préparation de la solution injectable de succimère de technétium [99mTc];poudre pour solution injectable;MALLINCKRODT MEDICAL (PAYS-BAS)
TECHNESCAN DTPA  trousse pour la préparation de la solution injectable de pentétate de technétium [99m Tc];poudre pour injection;MALLINCKRODT MEDICAL (PAYS-BAS)
TECHNESCAN HDP  trousse pour préparation radiopharmaceutique;trousse;MALLINCKRODT MEDICAL (PAYS-BAS)
TECHNESCAN LYOMAA  poudre pour suspension injectable. Trousse pour la préparation de macroagrégats d’albumine humaine technétiés (99mTc);poudre pour suspension injectable;MALLINCKRODT MEDICAL (PAYS-BAS)
TECHNESCAN MAG 3  poudre pour solution injectable;poudre pour solution injectable;MALLINCKRODT MEDICAL (PAYS-BAS)
TECHNESCAN SESTAMIBI 1 mg  trousse pour préparation radiopharmaceutique;trousse;MALLINCKRODT MEDICAL (PAYS-BAS)
TEDRALAN 200 mg  gélule à libération prolongée;gélule à libération prolongée;SERP
TEGELINE 50 mg/mL  poudre et solvant pour solution pour perfusion;poudre et  solvant pour solution pour perfusion;LFB-BIOMEDICAMENTS
TEGLUTIK 5 mg/ml  suspension buvable;suspension buvable;ITALFARMACO (ESPAGNE)
TEGRETOL 20 mg/ml  suspension buvable;suspension buvable;NOVARTIS PHARMA
TEGRETOL 200 mg  comprimé sécable;comprimé sécable;NOVARTIS PHARMA
TEGRETOL L.P. 200 mg  comprimé pelliculé sécable à libération prolongée;comprimé pelliculé sécable à libération prolongée;NOVARTIS PHARMA
TEGRETOL L.P. 400 mg  comprimé pelliculé sécable à libération prolongée;comprimé pelliculé sécable à libération prolongée;NOVARTIS PHARMA
TEICOPLANINE MYLAN 100 mg  poudre pour solution injectable/pour perfusion ou solution buvable;poudre pour solution injectable pour perfusion ou buvable;MYLAN SAS
TEICOPLANINE MYLAN 200 mg  poudre pour solution injectable/pour perfusion ou solution buvable;poudre pour solution injectable pour perfusion ou buvable;MYLAN SAS
TEICOPLANINE MYLAN 400 mg  poudre pour solution injectable/pour perfusion ou solution buvable;poudre pour solution injectable pour perfusion ou buvable;MYLAN SAS
TEINTURE D'ARNICA GILBERT  compresse imprégnée;compresse imprégné(e);GILBERT
TEKCIS 2-50 GBq  générateur radiopharmaceutique;générateur radiopharmaceutique;CIS BIO INTERNATIONAL
TEKTROTYD 16 microgrammes  trousse pour préparation pharmaceutique;trousse pour préparation radiopharmaceutique et  trousse pour préparation radiopharmaceutique;ROTOP PHARMAKA (ALLEMAGNE)
TELEBRIX 12 SODIUM (120 mg I/mL)  solution pour administration intra-vésicale;solution pour administration intravésicale;GUERBET
TELEBRIX 30 MEGLUMINE (300 mg l/mL)  solution injectable;solution injectable;GUERBET
TELEBRIX 35 (350 mg l/mL)  solution injectable;solution injectable;GUERBET
TELEBRIX GASTRO (300 mg l/mL)  solution pour administration par voie orale ou rectale;solution ou;GUERBET
TELEBRIX HYSTERO (250 mg l/mL)  solution injectable par voie intra-utérine;solution injectable;GUERBET
TELFAST 120 mg  comprimé pelliculé;comprimé pelliculé;SANOFI AVENTIS FRANCE
TELFAST 180 mg  comprimé pelliculé;comprimé pelliculé;SANOFI AVENTIS FRANCE
TELMISARTAN ACTAVIS 40 mg  comprimé;comprimé;ACTAVIS GROUP PTC (ISLANDE)
TELMISARTAN ACTAVIS 80 mg  comprimé;comprimé;ACTAVIS GROUP PTC (ISLANDE)
TELMISARTAN BIOGARAN 40 mg  comprimé;comprimé;BIOGARAN
TELMISARTAN BIOGARAN 80 mg  comprimé;comprimé;BIOGARAN
TELMISARTAN CRISTERS 40 mg  comprimé;comprimé;CRISTERS
TELMISARTAN CRISTERS 80 mg  comprimé;comprimé;CRISTERS
TELMISARTAN EG 40 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
TELMISARTAN EG 80 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
TELMISARTAN HYDROCHLOROTHIAZIDE TEVA SANTE 80 mg/12 5 mg  comprimé;comprimé;TEVA SANTE
TELMISARTAN MYLAN 40 mg  comprimé;comprimé;MYLAN SAS
TELMISARTAN MYLAN 80 mg  comprimé;comprimé;MYLAN SAS
TELMISARTAN RANBAXY 40 mg  comprimé;comprimé;RANBAXY PHARMACIE GENERIQUES
TELMISARTAN RANBAXY 80 mg  comprimé;comprimé;RANBAXY PHARMACIE GENERIQUES
TELMISARTAN SANDOZ 20 mg  comprimé;comprimé;SANDOZ
TELMISARTAN SANDOZ 40 mg  comprimé;comprimé;SANDOZ
TELMISARTAN SANDOZ 80 mg  comprimé;comprimé;SANDOZ
TELMISARTAN TEVA SANTE 40 mg  comprimé;comprimé;RATIOPHARM (ALLEMAGNE)
TELMISARTAN TEVA SANTE 80 mg  comprimé;comprimé;RATIOPHARM (ALLEMAGNE)
TELMISARTAN ZENTIVA 40 mg  comprimé;comprimé;ZENTIVA FRANCE
TELMISARTAN ZENTIVA 80 mg  comprimé;comprimé;ZENTIVA FRANCE
TELMISARTAN ZYDUS 40 mg  comprimé;comprimé;ZYDUS FRANCE
TELMISARTAN ZYDUS 80 mg  comprimé;comprimé;ZYDUS FRANCE
TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 40 mg/12 5 mg  comprimé;comprimé;ARROW GENERIQUES
TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 80 mg/12 5 mg  comprimé;comprimé;ARROW GENERIQUES
TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 80 mg/25 mg  comprimé;comprimé;ARROW GENERIQUES
TELMISARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 40 mg/12 5 mg  comprimé;comprimé;BIOGARAN
TELMISARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 80 mg/12 5 mg  comprimé;comprimé;BIOGARAN
TELMISARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 80 mg/25 mg  comprimé;comprimé;BIOGARAN
TELMISARTAN/HYDROCHLOROTHIAZIDE CRISTERS 40 mg/12 5 mg  comprimé;comprimé;CRISTERS
TELMISARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 mg/12 5 mg  comprimé;comprimé;CRISTERS
TELMISARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 mg/25 mg  comprimé;comprimé;CRISTERS
TELMISARTAN/HYDROCHLOROTHIAZIDE EG 40 mg/12 5 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
TELMISARTAN/HYDROCHLOROTHIAZIDE EG 80 mg/12 5 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
TELMISARTAN/HYDROCHLOROTHIAZIDE EG 80 mg/25 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
TELMISARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 40 mg/12 5 mg  comprimé;comprimé;MYLAN SAS
TELMISARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 80 mg/12 5 mg  comprimé;comprimé;MYLAN SAS
TELMISARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 80 mg/25 mg  comprimé;comprimé;MYLAN SAS
TELMISARTAN/HYDROCHLOROTHIAZIDE SANDOZ 40 mg/12 5 mg  comprimé;comprimé;SANDOZ
TELMISARTAN/HYDROCHLOROTHIAZIDE SANDOZ 80 mg/12 5 mg  comprimé;comprimé;SANDOZ
TELMISARTAN/HYDROCHLOROTHIAZIDE SANDOZ 80 mg/25 mg  comprimé;comprimé;SANDOZ
TELMISARTAN/HYDROCHLOROTHIAZIDE TEVA SANTE 40 mg/12 5 mg  comprimé;comprimé;TEVA SANTE
TELMISARTAN/HYDROCHLOROTHIAZIDE TEVA SANTE 80 mg/25 mg  comprimé;comprimé;TEVA SANTE
TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 40 mg/12 5 mg  comprimé;comprimé;ZENTIVA FRANCE
TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 80 mg/12 5 mg  comprimé;comprimé;ZENTIVA FRANCE
TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 80 mg/25 mg  comprimé;comprimé;ZENTIVA FRANCE
TELMISARTAN/HYDROCHLOROTHIAZIDE ZYDUS 40 mg/12 5 mg  comprimé;comprimé;ZYDUS FRANCE
TELMISARTAN/HYDROCHLOROTHIAZIDE ZYDUS 80 mg/12 5 mg  comprimé;comprimé;ZYDUS FRANCE
TELMISARTAN/HYDROCHLOROTHIAZIDE ZYDUS 80 mg/25 mg  comprimé;comprimé;ZYDUS FRANCE
TELZIR 50 mg/ml  suspension buvable;suspension buvable;VIIV HEALTHCARE UK (ROYAUME-UNI)
TELZIR 700 mg  comprimé pelliculé;comprimé pelliculé;VIIV HEALTHCARE UK (ROYAUME-UNI)
TEMERIT 5 mg  comprimé quadrisécable;comprimé quadrisécable;MEDIWIN
TEMERIT 5 mg  comprimé quadrisécable;comprimé quadrisécable;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
TEMERITDUO 5 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;MEDIWIN
TEMERITDUO 5 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
TEMERITDUO 5 mg/25 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
TEMERITDUO 5 mg/25 mg  comprimé pelliculé;comprimé pelliculé;MEDIWIN
TEMESTA 1 mg  comprimé sécable;comprimé sécable;NEURAXPHARM FRANCE
TEMESTA 2 5 mg  comprimé sécable;comprimé sécable;NEURAXPHARM FRANCE
TEMGESIC 0 2 mg  comprimé sublingual;comprimé;INDIVIOR EUROPE (IRLANDE)
TEMGESIC 0 3 mg/ml  solution injectable;solution injectable;INDIVIOR EUROPE (IRLANDE)
TEMODAL 100 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
TEMODAL 140 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
TEMODAL 180 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
TEMODAL 2 5 mg/ml  poudre pour solution pour perfusion;poudre pour solution pour perfusion;MERCK SHARP & DOHME (PAYS-BAS)
TEMODAL 20 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
TEMODAL 250 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
TEMODAL 5 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
TEMOZOLOMIDE ACCORD 100 mg  gélule;gélule;ACCORD HEALTHCARE (ROYAUME UNI)
TEMOZOLOMIDE ACCORD 140 mg  gélule;gélule;ACCORD HEALTHCARE (ROYAUME UNI)
TEMOZOLOMIDE ACCORD 180 mg  gélule;gélule;ACCORD HEALTHCARE (ROYAUME UNI)
TEMOZOLOMIDE ACCORD 20 mg  gélule;gélule;ACCORD HEALTHCARE (ROYAUME UNI)
TEMOZOLOMIDE ACCORD 250 mg  gélule;gélule;ACCORD HEALTHCARE (ROYAUME UNI)
TEMOZOLOMIDE ACCORD 5 mg  gélule;gélule;ACCORD HEALTHCARE (ROYAUME UNI)
TEMOZOLOMIDE MYLAN 100 mg  gélule;gélule;MYLAN SAS
TEMOZOLOMIDE MYLAN 140 mg  gélule;gélule;MYLAN SAS
TEMOZOLOMIDE MYLAN 180 mg  gélule;gélule;MYLAN SAS
TEMOZOLOMIDE MYLAN 20 mg  gélule;gélule;MYLAN SAS
TEMOZOLOMIDE MYLAN 250 mg  gélule;gélule;MYLAN SAS
TEMOZOLOMIDE MYLAN 5 mg  gélule;gélule;MYLAN SAS
TEMOZOLOMIDE SUN 100 mg  gélule;gélule;SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS)
TEMOZOLOMIDE SUN 140 mg  gélule;gélule;SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS)
TEMOZOLOMIDE SUN 180 mg  gélule;gélule;SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS)
TEMOZOLOMIDE SUN 20 mg  gélule;gélule;SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS)
TEMOZOLOMIDE SUN 250 mg  gélule;gélule;SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS)
TEMOZOLOMIDE SUN 5 mg  gélule;gélule;SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS)
TEMOZOLOMIDE TEVA 100 mg  gélule;gélule;TEVA (PAYS-BAS)
TEMOZOLOMIDE TEVA 140 mg  gélule;gélule;TEVA (PAYS-BAS)
TEMOZOLOMIDE TEVA 180 mg  gélule;gélule;TEVA (PAYS-BAS)
TEMOZOLOMIDE TEVA 20 mg  gélule;gélule;TEVA (PAYS-BAS)
TEMOZOLOMIDE TEVA 250 mg  gélule;gélule;TEVA (PAYS-BAS)
TEMOZOLOMIDE TEVA 5 mg  gélule;gélule;TEVA (PAYS-BAS)
TENDOL 1 %  gel;gel;LABORATOIRES NEPENTHES
TENOFOVIR DISOPROXIL ARROW 123 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
TENOFOVIR DISOPROXIL ARROW 163 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
TENOFOVIR DISOPROXIL ARROW 204 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
TENOFOVIR DISOPROXIL ARROW 245 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
TENOFOVIR DISOPROXIL BIOGARAN 245 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
TENOFOVIR DISOPROXIL EG 245 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
TENOFOVIR DISOPROXIL MYLAN 245 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
TENOFOVIR DISOPROXIL SANDOZ 245 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
TENOFOVIR DISOPROXIL TEVA 245 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
TENOFOVIR DISOPROXIL ZENTIVA 245 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA (REPUBLIQUE TCHEQUE)
TENORDATE  gélule;gélule;ASTRAZENECA
TENORETIC 50 mg/12 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ASTRAZENECA
TENORMINE 100 mg  comprimé enrobé sécable;comprimé enrobé sécable;ASTRAZENECA
TENORMINE 5 mg/10 ml  solution injectable IV en ampoule;solution injectable;ASTRAZENECA
TENORMINE 50 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ASTRAZENECA
TENSIONORME  comprimé sécable;comprimé sécable;LABORATOIRE DU TENSIONORME
TENSTATEN 50 mg  gélule;gélule;IPSEN CONSUMER HEALTHCARE
TEOULA 15 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
TEOULA 30 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
TEOULA 60 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
TEOULA 7 5 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
TEPADINA 100 mg  poudre pour concentré pour solution pour perfusion;poudre pour concentré pour solution pour perfusion;ADIENNE (ITALIE)
TEPADINA 15 mg  poudre pour concentré pour solution pour perfusion;poudre pour concentré pour solution pour perfusion;ADIENNE (ITALIE)
TERALITHE 250 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
TERALITHE LP 400 mg  comprimé sécable à libération prolongée;comprimé sécable à libération prolongée;SANOFI AVENTIS FRANCE
TERAZOSINE BIOGARAN 5 mg  comprimé;comprimé;BIOGARAN
TERAZOSINE MYLAN 5 mg  comprimé;comprimé;MYLAN SAS
TERAZOSINE TEVA 5 mg  comprimé;comprimé;TEVA SANTE
TERBINAFINE ALMUS 250 mg  comprimé sécable;comprimé sécable;BIOGARAN
TERBINAFINE ARROW 1 %  crème;crème;ARROW GENERIQUES
TERBINAFINE ARROW 250 mg  comprimé;comprimé;ARROW GENERIQUES
TERBINAFINE ARROW LAB 250 mg  comprimé sécable;comprimé sécable;ARROW GENERIQUES
TERBINAFINE BAILLEUL 250 mg  comprimé;comprimé sécable;LABORATOIRES BAILLEUL (LUXMEBOURG)
TERBINAFINE BIOGARAN 1 %  crème;crème;BIOGARAN
TERBINAFINE BIOGARAN 250 mg  comprimé sécable;comprimé sécable;BIOGARAN
TERBINAFINE CRISTERS 250 mg  comprimé sécable;comprimé sécable;CRISTERS
TERBINAFINE EG 1 %  crème;crème;EG LABO - LABORATOIRES EUROGENERICS
TERBINAFINE EG 250 mg  comprimé sécable;comprimé sécable;EG LABO - LABORATOIRES EUROGENERICS
TERBINAFINE EVOLUGEN 250 mg  comprimé sécable;comprimé sécable;EVOLUPHARM
TERBINAFINE ISOMED 250 mg  comprimé sécable;comprimé sécable;TEVA SANTE
TERBINAFINE LICONSA 250 mg  comprimé sécable;comprimé sécable;LABORATORIOS LICONSA (ESPAGNE)
TERBINAFINE MYLAN 1%  crème;crème;MYLAN SAS
TERBINAFINE MYLAN 250 mg  comprimé sécable;comprimé sécable;MYLAN SAS
TERBINAFINE PIERRE FABRE 1 %  crème;crème;PIERRE FABRE DERMATOLOGIE
TERBINAFINE RATIOPHARM 250 mg  comprimé sécable;comprimé sécable;RATIOPHARM (ALLEMAGNE)
TERBINAFINE RPG 250 mg  comprimé sécable;comprimé sécable;RANBAXY PHARMACIE GENERIQUES
TERBINAFINE SANDOZ 250 mg  comprimé sécable;comprimé sécable;SANDOZ
TERBINAFINE TEVA 250 mg  comprimé sécable;comprimé sécable;TEVA SANTE
TERBINAFINE ZENTIVA 250 mg  comprimé sécable;comprimé sécable;ZENTIVA FRANCE
TERBINAFINE ZYDUS 250 mg  comprimé sécable;comprimé sécable;ZYDUS FRANCE
TERBUTALINE ARROW 5 mg/2 ml  solution pour inhalation par nébuliseur en récipient unidose;solution pour inhalation par nébuliseur;ARROW GENERIQUES
TERBUTALINE BIOGARAN 5 mg/2 ml  solution pour inhalation par nébuliseur en récipient unidose;solution pour inhalation par nébuliseur;BIOGARAN
TERBUTALINE MYLAN 5 mg/2 ml  solution pour inhalation par nébuliseur en récipient unidose;solution pour inhalation par nébuliseur;MYLAN SAS
TERBUTALINE SANDOZ 5 mg/2 ml  solution pour inhalation par nébuliseur en récipient unidose;solution pour inhalation par nébuliseur;SANDOZ
TERCIAN 100 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANOFI AVENTIS FRANCE
TERCIAN 25 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANOFI AVENTIS FRANCE
TERCIAN 40 mg/ml  solution buvable en gouttes;solution buvable en gouttes;SANOFI AVENTIS FRANCE
TERCIAN 50 mg/5 ml  solution injectable en ampoule;solution injectable;SANOFI AVENTIS FRANCE
TERGYNAN  comprimé vaginal;comprimé;BOUCHARA-RECORDATI
TERLOMEXIN 200 mg  capsule molle vaginale;capsule molle;EFFIK
TERPINE GONNON 0 5 POUR CENT  solution buvable;solution buvable;MERCK MEDICATION FAMILIALE
TERPONE  sirop;sirop;ROSA PHYTOPHARMA
TESTOPATCH 1 2 mg/24 heures  dispositif transdermique;dispositif;PIERRE FABRE MEDICAMENT
TESTOPATCH 1 8 mg/24 heures  dispositif transdermique;dispositif;PIERRE FABRE MEDICAMENT
TESTOPATCH 2 4 mg/24 heures  dispositif transdermique;dispositif;PIERRE FABRE MEDICAMENT
TETMODIS 25 mg  comprimé sécable;comprimé sécable;AOP ORPHAN PHARMACEUTICALS
TETRACAINE 1 POUR CENT THEA  collyre en solution en récipient unidose;collyre en solution;THEA
TETRALYSAL 150 mg  gélule;gélule;GALDERMA INTERNATIONAL
TETRALYSAL 300 mg  gélule;gélule;GALDERMA INTERNATIONAL
TETRAVAC-ACELLULAIRE  suspension injectable en seringue préremplie. Vaccin diphtérique  tétanique  coquelucheux acellulaire et poliomyélitique (inactivé)  adsorbé;suspension injectable;SANOFI PASTEUR EUROPE
TETRAZEPAM RATIOPHARM 50 mg  comprimé enrobé sécable;comprimé enrobé sécable;RATIOPHARM (ALLEMAGNE)
TEUCRIUM SCORODONIA BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
TEUCRIUM SCORODONIA WELEDA  degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
TEVAGRASTIM 30 MUI/0 5 ml  solution injectable ou pour perfusion;solution injectable ou pour perfusion;TEVA (ALLEMAGNE)
TEVAGRASTIM 48 MUI/0 8 ml  solution injectable ou pour perfusion;solution injectable ou pour perfusion;TEVA (ALLEMAGNE)
TEVETEN 300 mg  comprimé pelliculé;comprimé pelliculé;MYLAN MEDICAL
TEXODIL 200 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES GRUNENTHAL
TEYSUNO 15 mg/4 35 mg/11 8 mg  gélule;gélule;NORDIC GROUP (PAYS-BAS)
TEYSUNO 20 mg/5 8 mg/15 8 mg  gélule;gélule;NORDIC GROUP (PAYS-BAS)
THAIS 100 microgrammes/24 heures  dispositif transdermique;dispositif;BESINS INTERNATIONAL (FRANCE)
THAIS 25 microgrammes/24 heures  dispositif transdermique;dispositif;BESINS INTERNATIONAL (FRANCE)
THAIS 50 microgrammes/24 heures  dispositif transdermique;dispositif;BESINS INTERNATIONAL (FRANCE)
THAISSEPT 25 microgrammes/24 heures  dispositif transdermique;dispositif;BESINS INTERNATIONAL (FRANCE)
THAISSEPT 50 microgrammes/24 heures  dispositif transdermique;dispositif;BESINS INTERNATIONAL (FRANCE)
THAISSEPT 75 microgrammes/24 heures  dispositif transdermique;dispositif;BESINS INTERNATIONAL (FRANCE)
THALIDOMIDE CELGENE 50 mg  gélule;gélule;CELGENE EUROPE (ROYAUME-UNI)
THEINOL  solution buvable;solution buvable;LABORATOIRE BAILLY CREAT
THEOSTAT 100 mg A LIBERATION PROLONGEE  comprimé sécable;comprimé sécable à libération prolongée;PIERRE FABRE MEDICAMENT
THEOSTAT 200 mg A LIBERATION PROLONGEE  comprimé sécable;comprimé sécable à libération prolongée;PIERRE FABRE MEDICAMENT
THEOSTAT 300 mg A LIBERATION PROLONGEE  comprimé sécable;comprimé sécable à libération prolongée;PIERRE FABRE MEDICAMENT
THERACAP131  Iodure(131I) de sodium pour thérapie  gélule;gélule;GE HEALTHCARE
THERALENE 0 05 POUR CENT  sirop;sirop;LABORATOIRE XO
THERALENE 4 POUR CENT  solution buvable en gouttes;solution buvable en gouttes;LABORATOIRE XO
THERALENE 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;LABORATOIRE XO
THIOCOLCHICOSIDE ALMUS 4 mg  comprimé;comprimé;BIOGARAN
THIOCOLCHICOSIDE ALTER 4 mg  comprimé;comprimé;LABORATOIRES ALTER
THIOCOLCHICOSIDE ARROW 4 mg  comprimé;comprimé;ARROW GENERIQUES
THIOCOLCHICOSIDE BIOGARAN 4 mg  comprimé;comprimé;BIOGARAN
THIOCOLCHICOSIDE CRISTERS 4 mg  comprimé;comprimé;CRISTERS
THIOCOLCHICOSIDE EG 4 mg  comprimé sécable;comprimé sécable;EG LABO - LABORATOIRES EUROGENERICS
THIOCOLCHICOSIDE MYLAN 4 mg  comprimé;comprimé;MYLAN SAS
THIOCOLCHICOSIDE PHARMY II 4 mg/2 ml  solution injectable;solution injectable;PHARMY II
THIOCOLCHICOSIDE SANDOZ 4 mg  comprimé;comprimé;SANDOZ
THIOCOLCHICOSIDE ZENTIVA 4 mg  comprimé;comprimé;ZENTIVA FRANCE
THIOPECTOL ADULTES  sirop;sirop;GIFRER BARBEZAT
THIOPENTAL MEDIPHA 1 g  poudre pour solution injectable;poudre pour solution injectable;MEDIPHA SANTE
THIOPENTAL MEDIPHA 500 mg  poudre pour solution injectable;poudre pour solution injectable;MEDIPHA SANTE
THIOPENTAL PANPHARMA 1 g  poudre pour solution injectable;poudre pour solution injectable;PANPHARMA
THIOPENTAL PANPHARMA 500 mg  poudre pour solution injectable;poudre pour solution injectable;PANPHARMA
THIOPHENICOL 750 mg  poudre et solvant pour préparation injectable;poudre et  solvant pour préparation injectable;SANOFI AVENTIS FRANCE
THIOPHENICOL  comprimé enrobé;comprimé enrobé;SANOFI AVENTIS FRANCE
THIOTEPA GENOPHARM 15 mg  lyophilisat pour usage parentéral;lyophilisat pour usage parentéral;EFISCIENS (MALTE)
THIOVALONE  Suspension pour pulvérisation buccale;suspension pour pulvérisation;PFIZER HOLDING FRANCE
THUYA OCCIDENTALIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
THUYA OCCIDENTALIS FERRIER  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules;FERRIER
THUYA OCCIDENTALIS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
THUYA OCCIDENTALIS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;crème et solution et granules et poudre;WELEDA
THYMOGLOBULINE 5 mg/ml  poudre pour solution pour perfusion;poudre pour solution pour perfusion;GENZYME EUROPE (PAYS BAS)
THYMULINE BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
THYROFIX 100 microgrammes  comprimé;comprimé;UNI-PHARMA KLEON TSETIS PHARMACEUTICAL LABORATORIES (GRECE)
THYROFIX 25 microgrammes  comprimé;comprimé;UNI-PHARMA KLEON TSETIS PHARMACEUTICAL LABORATORIES (GRECE)
THYROFIX 50 microgrammes  comprimé;comprimé;UNI-PHARMA KLEON TSETIS PHARMACEUTICAL LABORATORIES (GRECE)
